date,ticker,sector,headline,description
2026-03-07,AAPL,Technology,Apple launches new AI-powered MacBook lineup,Apple unveils next-generation MacBooks with custom AI chips targeting enterprise and creative professionals.
2026-03-06,AAPL,Technology,Apple iPhone sales beat expectations in Q1,Strong demand in Asia drives iPhone revenue above Wall Street estimates for the quarter.
2026-03-05,AAPL,Technology,Apple faces EU antitrust scrutiny over App Store policies,European regulators open new investigation into Apple's app marketplace fees and restrictions.
2026-03-04,NVDA,Technology,Nvidia reports record data center revenue,AI infrastructure spending propels Nvidia data center segment to all-time quarterly high.
2026-03-03,NVDA,Technology,Nvidia announces next-gen GPU architecture,New Blackwell Ultra chips promise 3x performance gains for large language model training.
2026-03-01,NVDA,Technology,Nvidia faces increased competition from AMD in AI chips,AMD gains market share in data center GPUs as hyperscalers diversify suppliers.
2026-02-28,TSLA,Technology,Tesla Cybertruck production ramps to 5000 units per week,Austin Gigafactory reaches production milestone ahead of revised schedule.
2026-02-27,TSLA,Technology,Tesla faces recall of 200K vehicles over autopilot software,NHTSA investigation leads to voluntary recall for software update addressing highway driving behavior.
2026-02-25,TSLA,Technology,Tesla expands energy storage business with record Megapack orders,Utility-scale battery deployments double year-over-year as grid storage demand surges.
2026-03-06,META,Technology,Meta AI assistant reaches 500 million monthly users,Meta's AI chatbot becomes the most widely used consumer AI product globally.
2026-03-04,META,Technology,Meta faces backlash over AI-generated content in feeds,User complaints about AI-generated posts spark congressional hearing on content authenticity.
2026-03-02,AMZN,Technology,Amazon AWS launches new AI infrastructure tier,AWS introduces dedicated AI compute instances targeting mid-market enterprise customers.
2026-03-01,AMZN,Technology,Amazon expands same-day delivery to 30 new cities,Logistics investment drives same-day coverage to over 200 metro areas in the US.
2026-02-28,MSFT,Technology,Microsoft Copilot enterprise adoption doubles in Q1,Office 365 Copilot subscriptions surpass 50 million as businesses automate workflows.
2026-02-26,MSFT,Technology,Microsoft Azure revenue grows 35% year-over-year,Cloud infrastructure business continues to outpace market growth driven by AI workloads.
2026-03-05,GOOG,Technology,Google DeepMind unveils breakthrough protein folding model,New AlphaFold iteration predicts protein interactions with near-experimental accuracy.
2026-03-03,GOOG,Technology,Google faces DOJ antitrust remedy proposal,Department of Justice proposes structural remedies in landmark search monopoly case.
2026-02-27,AVGO,Technology,Broadcom AI networking revenue surges 60%,Custom AI accelerator and networking chip demand drives strong quarterly results.
2026-02-25,ADBE,Technology,Adobe integrates generative AI across full Creative Suite,New Firefly-powered features automate complex design workflows for creative professionals.
2026-03-04,CRM,Technology,Salesforce acquires AI startup for $4 billion,CRM giant bolsters AI capabilities with acquisition of enterprise automation platform.
2026-03-01,AMD,Technology,AMD MI400 chips gain traction in cloud data centers,Microsoft and Google expand AMD AI chip deployments as alternative to Nvidia hardware.
2026-02-26,INTC,Technology,Intel foundry business secures major defense contract,US government awards Intel $3 billion contract for domestic chip manufacturing.
2026-02-24,INTC,Technology,Intel reports wider losses in foundry division,Manufacturing business continues to burn cash as node transitions face delays.
2026-03-03,ORCL,Technology,Oracle cloud infrastructure revenue jumps 40%,Oracle gains enterprise cloud market share as businesses migrate legacy workloads.
2026-02-28,CSCO,Technology,Cisco reports strong demand for AI networking equipment,Data center networking refresh cycle boosts orders for high-speed switches and routers.
2026-02-25,IBM,Technology,IBM consulting revenue grows on AI implementation demand,Enterprise AI consulting engagements drive double-digit growth in services division.
2026-03-06,JPM,Finance,JPMorgan posts record Q1 trading revenue,Volatile markets drive fixed income and equities trading desks to best quarter ever.
2026-03-04,JPM,Finance,JPMorgan raises dividend by 12%,Strong capital position enables bank to increase quarterly payout to shareholders.
2026-03-02,BAC,Finance,Bank of America digital banking users top 50 million,Mobile app engagement reaches record levels as branch transactions continue to decline.
2026-02-28,GS,Finance,Goldman Sachs expands wealth management to mass affluent market,New digital advisory platform targets clients with $250K to $1M in assets.
2026-02-26,MS,Finance,Morgan Stanley wealth management AUM hits $7 trillion,Continued market appreciation and net new asset flows drive record assets under management.
2026-03-05,C,Finance,Citi completes major restructuring with 10K job cuts,Cost reduction program reaches target as bank simplifies organizational structure.
2026-03-01,WFC,Finance,Wells Fargo asset cap removal expected by mid-2026,Federal Reserve signals progress on compliance requirements for lifting growth restrictions.
2026-02-27,BLK,Finance,BlackRock sees record ETF inflows of $150 billion in Q1,Passive investing trend accelerates as retail investors shift from active mutual funds.
2026-02-24,SCHW,Finance,Schwab completes TD Ameritrade integration,Final platform migration brings total client assets to over $9 trillion.
2026-03-07,JNJ,Healthcare,J&J wins FDA approval for new cancer immunotherapy,Breakthrough designation drug approved for treatment of advanced non-small cell lung cancer.
2026-03-05,JNJ,Healthcare,J&J faces new talc litigation in state courts,Additional lawsuits filed despite company's bankruptcy strategy for legacy liabilities.
2026-03-03,UNH,Healthcare,UnitedHealth expands Medicare Advantage enrollment by 8%,Annual enrollment period drives strong growth in government healthcare programs.
2026-03-01,PFE,Healthcare,Pfizer cuts revenue guidance on weak vaccine demand,Post-pandemic normalization continues to weigh on COVID and flu vaccine sales.
